,FIP,Total Units,Average Household Income,Annual Energy Expenditures,Energy Burden,Annual Electricity Expenditures,Annual Gas Expenditures,Annual Fuel Oil Expenditures
0,38001965600,1046,74937,3618,0.04828055566676008,2415.0,1132.4,70.3
1,38003967900,756,91056,4114,0.04518098752416096,2896.3,1037.9,179.7
2,38003968000,1172,85167,3040,0.03569457653786091,1828.2,1048.3,164.0
3,38003968200,1329,50001,1741,0.034819303613927724,1409.4,287.5,44.0
4,38003968300,1828,74865,1830,0.024443999198557404,1401.9,372.7,55.2
5,38005940100,689,46808,4238,0.09054007861903948,3043.9,1095.0,99.5
6,38005940200,610,51066,5471,0.10713586339247248,3473.2,1916.6,81.6
7,38005956500,521,69933,3997,0.05715470521785137,2771.3,1080.7,144.6
8,38005956600,465,74549,4133,0.055440046144146805,2930.2,1047.8,154.6
9,38007963100,385,110235,4110,0.03728398421553953,2692.7,1360.1,57.0
10,38009952300,1042,69947,1153,0.016483909245571648,554.7,448.6,149.8
11,38009952400,1187,78230,2874,0.03673782436405471,1932.5,805.0,136.2
12,38009952500,836,89567,2849,0.03180859021737917,1780.3,969.4,99.0
13,38011965200,792,75217,2355,0.031309411436244466,1905.8,431.3,18.0
14,38011965300,606,91225,3591,0.039364209372430806,2157.6,1383.8,49.9
15,38013953300,877,94698,4342,0.045851021140889986,2419.5,1843.7,79.1
16,38015010100,1937,46444,900,0.019378175867711653,564.3,321.4,14.4
17,38015010200,2299,54739,1201,0.02194048119256837,808.6,382.5,10.1
18,38015010300,2802,69896,1191,0.01703960169394529,789.8,377.8,23.5
19,38015010400,1818,68705,1316,0.019154355578196638,882.2,416.1,17.2
20,38015010500,2176,88459,1266,0.014311715031822653,862.1,378.4,25.7
21,38015010600,2014,83724,1318,0.01574220056375711,867.8,434.3,16.0
22,38015010700,1884,80840,1373,0.01698416625432954,906.4,451.1,15.7
23,38015010800,1765,51919,1281,0.024673048402318997,791.0,468.0,22.0
24,38015010900,1976,71057,1121,0.015776067101059714,760.9,342.3,17.6
25,38015011001,2956,65193,1071,0.01642814412590309,697.7,355.6,17.5
26,38015011002,2477,109616,2151,0.019623047730258355,1374.6,755.3,20.9
27,38015011101,2895,67841,1036,0.01527100131189104,678.3,341.8,16.1
28,38015011103,1463,72960,1156,0.015844298245614036,756.1,370.6,29.2
29,38015011104,2171,155323,1590,0.010236732486495884,1008.2,564.9,17.2
30,38015011105,2047,131511,2117,0.016097512755586987,1342.2,744.6,30.7
31,38015011200,2624,104879,1750,0.016685895174439115,1114.4,610.7,24.9
32,38015011300,2590,96864,2028,0.02093657086223984,1213.7,784.3,30.0
33,38015011400,970,100309,2978,0.029688263266506493,1653.8,1261.1,62.8
34,38015011500,631,87330,2897,0.03317302187106378,1497.1,1323.9,76.0
35,38017000100,1934,119120,1808,0.015177971793149765,1280.9,497.0,29.6
36,38017000201,1702,54658,1213,0.022192542720187346,901.5,296.1,15.8
37,38017000202,1601,53611,1182,0.02204771408852661,858.3,310.4,13.6
38,38017000300,701,85627,1442,0.016840482558071638,1125.0,310.7,6.6
39,38017000400,1522,63291,1430,0.022594049706909355,1043.0,327.1,60.0
40,38017000501,1672,55046,1250,0.022708280347345858,990.1,239.6,19.9
41,38017000502,1396,35396,1122,0.031698497005311334,906.2,195.8,19.8
42,38017000600,2328,45024,1129,0.02507551528073916,932.3,172.3,24.6
43,38017000700,1371,31993,564,0.01762885631231832,497.3,49.4,17.2
44,38017000801,1607,59825,984,0.01644797325532804,741.4,216.3,26.4
45,38017000802,2305,54056,1313,0.024289625573479356,967.0,310.0,36.1
46,38017000901,2027,62182,1511,0.024299636550770318,1018.0,442.1,51.0
47,38017000903,2226,44087,749,0.016989135119196135,660.8,85.5,2.7
48,38017000904,1965,70212,1222,0.017404432290776504,1003.2,199.9,19.1
49,38017001001,2721,62479,1120,0.01792602314377631,1020.0,91.7,8.3
50,38017001002,1407,58809,966,0.016426057236137326,762.7,183.3,19.6
51,38017010106,2440,40117,559,0.01393424234115213,540.6,18.2,0.7
52,38017010107,1551,38778,626,0.016143173964619114,559.6,62.6,3.7
53,38017010108,2784,64342,1033,0.01605483199154518,868.0,162.1,2.5
54,38017010109,1648,79474,1505,0.01893701084631452,1205.9,289.1,10.4
55,38017010201,2363,87742,1661,0.018930500786396482,1258.0,391.9,10.8
56,38017010203,1325,63072,1551,0.024590943683409437,1086.7,438.1,25.8
57,38017010204,2707,103431,1511,0.01460877299842407,1072.8,415.4,23.2
58,38017010303,2467,89186,1382,0.015495705604018568,1141.4,231.8,8.6
59,38017010305,2813,88115,1160,0.013164614424331839,971.6,183.5,4.7
60,38017010306,1860,86703,1244,0.014347831101576647,1027.6,205.9,10.5
61,38017010307,804,149416,1733,0.011598490121539861,1237.6,468.5,27.1
62,38017040100,813,91678,3555,0.03877702393158664,2299.9,1159.5,95.5
63,38017040200,900,97284,3557,0.03656305250606472,2130.0,1318.1,109.2
64,38017040300,1266,97600,2489,0.02550204918032787,1575.8,855.1,58.3
65,38017040400,1496,124642,2887,0.023162336932976042,2023.0,792.6,70.9
66,38017040500,17331,114262,1604,0.014037912866919886,1332.7,261.5,10.0
67,38017040600,1152,118628,3402,0.028677883804835283,2060.3,1236.3,105.6
68,38019950900,864,84436,1009,0.01194987919844616,513.4,462.7,32.8
69,38019951100,873,99831,1895,0.018982079714717874,770.6,978.4,146.3
70,38021973200,1043,75888,3458,0.045567151591819524,2138.3,1166.6,153.1
71,38021973300,556,92356,3858,0.04177313872406774,2579.8,1149.7,128.2
72,38021973400,571,68054,4589,0.06743174537866987,3675.7,804.1,109.5
73,38023954500,1119,92977,3814,0.04102089764135216,2439.9,1287.5,87.1
74,38025962200,1648,105360,4553,0.043213743356112375,3063.5,1423.9,65.6
75,38027959200,1052,67275,2675,0.03976217019695281,1872.6,733.7,68.9
76,38029966500,1556,62483,2706,0.043307779716082774,1643.9,894.9,167.3
77,38031959600,1440,79433,2911,0.036647237294323516,2106.1,741.7,62.9
78,38033962900,856,71305,1997,0.028006451160507678,1087.6,880.9,28.6
79,38035010100,1581,48690,1573,0.03230642842472787,1364.5,196.9,11.5
80,38035010200,1896,63248,1775,0.02806412850999241,1449.0,286.0,39.7
81,38035010300,1164,25710,1564,0.060832360949047065,1491.8,58.7,14.0
82,38035010400,2638,50818,1504,0.029595812507379277,1322.4,171.8,10.2
83,38035010600,1091,41502,1200,0.028914269191846177,1022.8,167.1,10.4
84,38035010700,908,58103,1863,0.03206374885978349,1561.4,279.7,22.2
85,38035010801,2465,63059,1556,0.024675304080305747,1352.8,191.6,11.8
86,38035010803,3075,54728,1521,0.02779198947522292,1354.6,151.1,15.5
87,38035010804,2348,57972,1104,0.01904367625750362,1015.1,84.0,5.1
88,38035010900,672,97137,2421,0.02492356156768276,1903.7,495.9,21.0
89,38035011000,1055,70567,2093,0.029659755976589625,1670.1,387.4,35.4
90,38035011100,1805,123550,2685,0.021732092270335897,2150.3,508.3,26.7
91,38035011200,3866,79038,1789,0.022634682051671347,1555.6,215.4,17.8
92,38035011400,821,91945,2749,0.02989830877154821,1494.8,1115.8,138.5
93,38035011700,2364,109070,4986,0.04571376180434583,4093.4,828.0,64.9
94,38035011800,612,77690,5416,0.06971296177114172,4260.4,983.1,172.7
95,38035011900,728,57511,1439,0.025021300272991254,1407.2,31.6,0.3
96,38035012000,1126,70082,2334,0.033303844068377046,1284.6,918.2,131.0
97,38037965900,1094,76498,4561,0.05962247379016445,3001.5,1381.5,177.7
98,38039968600,1056,70553,4057,0.057502870182699534,3110.0,756.3,190.9
99,38041964700,518,69846,2763,0.03955845717721845,1913.3,770.4,79.1
100,38041964800,561,72857,3157,0.04333145751266179,2329.5,786.8,40.2
101,38043966800,1055,69989,3227,0.046107245424280956,2302.3,852.6,72.1
102,38045972100,634,78168,4877,0.062391259850578244,3938.8,746.4,191.9
103,38045972200,1179,79737,2925,0.036683095677038265,2121.9,604.5,198.9
104,38047972500,883,69173,2959,0.04277680597921154,2073.3,631.1,254.2
105,38049955600,1190,81110,2745,0.033842929355196644,1432.1,1186.7,126.3
106,38049955900,1438,81012,2161,0.02667506048486644,911.5,1105.4,144.3
107,38051972900,1317,63308,4606,0.07275541795665634,3633.0,741.1,232.0
108,38053940100,306,64918,4916,0.07572630087186913,3656.5,1231.5,27.8
109,38053962300,967,117955,3683,0.031223771777372726,2455.0,1205.1,22.9
110,38053962400,2177,99905,1819,0.01820729693208548,1408.0,397.9,12.9
111,38053962500,449,97170,3943,0.04057836780899455,2621.5,1287.1,34.4
112,38055960800,1898,91336,3183,0.03484934746430761,2349.7,793.2,40.1
113,38055961000,2435,74662,4162,0.05574455546328788,3195.3,926.9,39.4
114,38057961600,1149,86711,3188,0.03676580825962104,2027.5,1105.5,55.1
115,38057961700,1364,100110,3365,0.03361302567176106,2260.9,1037.3,67.2
116,38057961800,1189,87671,4420,0.05041575891685962,2882.4,1456.8,80.6
117,38059020100,2424,71609,1422,0.019857839098437347,927.2,475.4,19.3
118,38059020200,3317,82593,2021,0.0244693860254501,1474.9,521.7,24.7
119,38059020300,4775,86024,1316,0.015298056356365665,837.8,461.6,16.6
120,38059020400,1331,106597,3882,0.03641753520267925,2301.4,1503.6,76.5
121,38059020500,1689,72161,2795,0.038732833525034295,1871.7,884.2,38.8
122,38061940300,498,97019,2398,0.024716808047908143,1093.3,1248.0,57.2
123,38061940400,861,90963,4692,0.051581412222552026,3491.9,1168.1,32.4
124,38061955200,1876,94470,2075,0.021964644860802372,1093.7,937.2,43.8
125,38063959000,1479,65888,3891,0.05905475959203497,2892.4,837.0,161.8
126,38065961200,750,83887,2943,0.03508290915159679,1381.9,1472.6,88.5
127,38067950100,551,78143,2827,0.03617726475819971,1371.4,1240.5,215.2
128,38067950200,777,81241,2255,0.027756920766607993,1090.3,1094.4,70.2
129,38067950300,593,66647,3424,0.05137515567092292,2825.2,560.3,38.8
130,38067950400,590,88321,2999,0.03395568437857361,1481.5,1399.0,118.3
131,38067950500,669,75547,2491,0.03297285133757793,1477.0,820.7,193.2
132,38069956100,705,48644,4457,0.09162486637612038,3416.9,778.9,261.3
133,38069956200,1232,68349,3559,0.05207098860261306,2658.4,771.4,128.9
134,38071957600,2095,57619,1068,0.018535552508721083,689.9,348.7,29.9
135,38071957700,1074,96047,5062,0.05270336397805241,3361.9,1574.2,126.1
136,38071957800,1834,75476,1177,0.01559436112141608,777.8,378.0,20.9
137,38073968900,732,68619,3354,0.04887859047785599,2401.7,720.0,232.2
138,38073969000,628,95639,3666,0.03833164294900616,2902.2,527.2,236.4
139,38073969100,1007,65786,2067,0.031420058979114096,1314.1,608.8,144.2
140,38075952900,1022,85345,3222,0.037752651004745445,1788.5,1364.3,68.7
141,38077970700,798,101580,4225,0.04159283323488876,2823.0,1302.0,99.7
142,38077970800,886,102718,3888,0.037851204267995875,2626.3,1108.8,152.5
143,38077970900,1508,60219,1607,0.02668592968996496,1347.2,236.1,24.0
144,38077971000,1808,58097,751,0.012926657142365355,346.3,367.7,37.2
145,38077971100,552,80840,4106,0.050791687283523006,2399.5,1554.8,151.9
146,38077971400,1208,72192,3746,0.05188940602836879,2699.2,824.3,222.4
147,38079941800,1940,55062,4532,0.08230721731865896,3719.8,733.8,78.7
148,38079951600,576,68639,2953,0.04302218855169802,2437.0,417.0,98.7
149,38079951700,1429,56252,4824,0.08575695086396928,3973.1,749.1,101.7
150,38079951900,693,58700,4120,0.07018739352640545,3431.6,559.4,129.4
151,38081974000,732,79637,3216,0.040383238946720745,2276.8,850.7,88.8
152,38081974200,1102,74786,3543,0.047375177172198,2485.6,885.6,172.3
153,38083960200,689,66056,3185,0.0482166646481773,1694.5,1331.3,159.7
154,38085940800,437,60270,4647,0.07710303633648581,2477.2,2103.4,66.1
155,38085940900,673,50778,4083,0.0804088384733546,1980.5,2060.2,42.7
156,38087965000,329,83120,3986,0.04795476419634264,2635.0,1297.2,53.4
157,38089963300,667,90844,2869,0.0315816124345031,2055.1,753.7,60.6
158,38089963400,1768,100981,2214,0.021924916568463373,1682.6,501.2,30.2
159,38089963500,3318,85322,1720,0.02015892735753967,1416.1,286.0,17.5
160,38089963600,789,70269,2137,0.03041170359618039,1675.2,443.2,18.4
161,38089963700,1636,74709,1749,0.023410834036059914,1355.0,376.6,17.4
162,38089963800,1824,96835,2186,0.022574482366912788,1714.5,435.2,36.3
163,38089963900,1336,122432,3331,0.027206939362258233,2292.3,963.0,75.9
164,38089964000,812,85070,2979,0.03501822028917362,2009.2,938.1,31.8
165,38091968700,891,84657,4859,0.057396316902323496,3666.5,1005.2,187.5
166,38093967000,1054,95745,4213,0.04400229777011854,2754.7,1362.3,96.0
167,38093967200,1040,77118,4990,0.06470603490754429,3735.6,1130.8,123.5
