,FIP,Total Units,Average Household Income,Annual Energy Expenditures,Energy Burden,Annual Electricity Expenditures,Annual Gas Expenditures,Annual Fuel Oil Expenditures
0,31001965400,1683,93115,2835,0.030446222413145034,1598.5,1214.9,22.0
1,31001965500,1613,78384,2015,0.025706776893243518,1502.8,496.6,16.0
2,31001965600,2037,56686,1843,0.03251243693328159,1339.9,491.8,11.4
3,31001965700,649,50425,1551,0.030758552305404065,1158.5,381.0,11.5
4,31001965800,907,55810,1991,0.03567461028489518,1513.0,457.2,20.6
5,31001965900,1840,74131,1887,0.025454937880239035,1385.4,490.4,11.2
6,31001966000,1896,52596,1760,0.03346262073161457,1329.3,408.9,22.0
7,31001966100,1112,33655,1412,0.04195513296686971,1056.3,345.3,10.1
8,31001966200,973,82528,3043,0.03687233423807677,1638.6,1378.7,26.1
9,31003979600,801,65560,2846,0.04341061622940818,2010.0,794.5,41.3
10,31003979700,695,60139,2480,0.04123779909875455,1439.0,1016.6,24.2
11,31003979800,1179,56531,2314,0.040933293237338804,1673.8,604.7,35.9
12,31005958300,193,53389,3575,0.06696135908145873,2104.6,1440.2,30.5
13,31007954000,279,70038,3638,0.05194323081755618,2201.5,1391.9,44.3
14,31009972400,218,64416,4878,0.07572652757078986,3268.5,1566.4,43.2
15,31011960100,1462,75670,2484,0.03282674772036474,1880.4,571.4,32.1
16,31011960200,818,69525,1924,0.027673498741459905,1631.7,273.4,18.5
17,31013951100,976,70092,3512,0.05010557552930434,1846.9,1630.7,34.6
18,31013951200,2143,66906,2101,0.0314022658655427,1112.7,974.0,13.9
19,31013951300,1682,60785,2508,0.041260179320556055,1194.4,1291.9,21.4
20,31015975800,903,61370,3244,0.052859703438161966,2053.1,1137.2,54.0
21,31017975000,1434,56503,3468,0.06137727200325646,2108.8,1323.2,35.6
22,31019968900,1491,71709,2857,0.03984158194926718,1608.2,1220.2,28.1
23,31019969000,1631,84615,2642,0.03122377828990132,1606.4,1014.0,21.3
24,31019969100,1848,68914,2811,0.04078997010767043,1508.2,1278.3,24.5
25,31019969202,1638,81387,2191,0.026920761300944868,1239.0,942.4,9.4
26,31019969203,2374,84914,2043,0.02405963680900676,1281.4,755.0,6.2
