,FIP,Total Units,Average Household Income,Annual Energy Expenditures,Energy Burden,Annual Electricity Expenditures,Annual Gas Expenditures,Annual Fuel Oil Expenditures
0,34001000100,751,36510,2460,0.06737880032867707,1478.2,964.6,16.8
1,34001000200,1336,70081,2226,0.0317632453874802,1377.5,775.5,72.9
2,34001000300,1273,48979,1956,0.03993548255374752,1208.5,741.3,5.8
3,34001000400,1243,52076,2331,0.044761502419540675,1932.8,392.3,5.5
4,34001000500,875,48871,2642,0.05406069038898324,1322.0,1279.7,40.2
5,34001001100,899,25781,1819,0.07055583569295218,1172.8,619.1,27.1
6,34001001200,1300,39443,2434,0.06170930203077859,1377.4,1018.9,37.4
7,34001001300,685,43159,2477,0.057392432632822815,1502.6,882.5,92.0
8,34001001400,1441,42387,2055,0.048481845848963125,1169.5,850.0,35.9
9,34001001500,782,24490,1482,0.060514495712535726,979.3,496.6,6.5
10,34001001900,724,35145,1584,0.04507042253521127,1300.2,282.9,0.7
11,34001002300,756,41339,2366,0.05723408887491231,1342.0,984.2,39.6
12,34001002400,1176,35757,1454,0.04066336661353022,1132.8,317.4,3.9
13,34001002500,2031,39616,1703,0.042987681744749595,1152.7,543.6,7.0
14,34001010101,1350,95227,4202,0.04412614069539101,3012.9,1147.9,41.6
15,34001010102,862,100292,4496,0.044829099030829975,3427.0,1002.4,67.1
16,34001010104,758,77533,3880,0.050043207408458336,3131.9,710.7,37.0
17,34001010105,1157,85613,3383,0.039515026923481245,2460.2,898.4,24.3
18,34001010200,2175,101351,2891,0.028524632218725025,1602.2,1102.8,186.5
19,34001010300,917,59993,2557,0.04262163919123898,1361.8,1124.1,70.7
20,34001010401,2233,105682,3147,0.029778013285138433,1634.0,1155.7,357.2
21,34001010403,2180,84578,2719,0.03214783986379437,1456.3,1219.8,43.0
22,34001010501,3085,90315,2888,0.0319769694956541,1572.9,1205.3,109.5
23,34001010503,3024,63680,2266,0.03558417085427135,1337.0,915.8,13.4
24,34001010505,954,109090,3275,0.030021083509029243,1893.5,1297.6,83.4
25,34001010506,1793,92254,2862,0.031023045071216424,1598.9,1154.0,108.7
26,34001010600,1388,63191,2717,0.04299662926682597,1530.0,832.5,354.6
27,34001010700,2273,80798,3234,0.04002574321146563,1851.8,827.0,555.1
28,34001010800,1120,80725,2712,0.03359554041498916,1488.0,915.1,309.3
29,34001010900,2220,90441,2795,0.03090412534138278,1566.2,889.7,338.8
30,34001011000,852,97294,3244,0.03334224104261311,1858.0,972.5,413.6
31,34001011100,935,85004,3155,0.037115900428215144,1688.8,991.8,474.3
32,34001011201,619,89346,3275,0.03665525037494684,1781.9,1199.2,293.5
33,34001011202,2535,83326,3012,0.03614718095192377,1681.6,1079.7,251.3
34,34001011300,1738,63276,2365,0.03737594032492572,1219.0,737.9,407.7
35,34001011401,1709,99242,3240,0.03264746780596925,1800.3,1126.0,313.3
36,34001011403,2303,74620,2351,0.03150629857946931,1483.0,742.9,124.8
37,34001011404,3596,82002,2574,0.031389478305407184,1519.3,982.2,72.9
38,34001011500,2325,98435,3404,0.03458119571290699,1765.3,1348.8,289.8
39,34001011600,1925,81544,3528,0.043264985774551165,1691.9,1373.4,463.0
40,34001011701,2732,74296,3246,0.04369010444707656,1913.7,1208.4,123.8
41,34001011702,1186,51777,2718,0.052494350773509474,1487.3,1011.8,219.0
42,34001011802,5087,118498,3239,0.027333794663201065,1858.7,1329.0,50.8
43,34001011803,1927,72989,2255,0.03089506637986546,1364.1,837.0,54.4
44,34001011804,2344,103650,3258,0.03143270622286541,1824.3,1195.7,237.8
45,34001011805,735,92193,3423,0.037128632325664636,1862.5,1220.1,340.9
46,34001011900,2813,47307,2629,0.05557317098949416,1423.4,1055.8,149.7
47,34001012000,1586,58439,2638,0.04514108728759904,1510.5,945.0,182.6
48,34001012100,809,55976,2881,0.051468486494211804,1664.3,986.2,230.6
49,34001012200,1792,53077,2690,0.050681085969440626,1479.0,1002.8,208.6
50,34001012302,1097,111135,3247,0.029216718405542807,1824.8,1372.9,49.8
51,34001012401,955,91127,3222,0.0353572486749262,1795.8,1053.4,372.8
52,34001012402,780,92166,2981,0.03234381442180414,1677.3,1140.6,162.7
53,34001012501,936,109644,2904,0.026485717412717522,1594.6,1194.7,114.6
54,34001012502,559,113944,2959,0.025968897002036088,1664.8,1185.2,109.4
55,34001012602,501,123850,3133,0.025296729915220025,1727.5,1335.2,70.6
56,34001012701,1385,76479,2424,0.031694975091201505,1578.5,802.2,43.6
57,34001012702,725,67729,2348,0.034667572236412765,1527.4,798.1,22.7
58,34001012801,1631,75254,2298,0.030536582773008743,1452.0,752.1,94.4
59,34001012802,716,91429,3181,0.03479202441238557,2083.0,967.9,130.2
60,34001013000,1570,105222,3855,0.036636824998574444,2656.6,1077.9,120.5
61,34001013101,537,124617,4175,0.03350265212611441,2874.0,1241.7,59.0
62,34001013102,946,80615,3553,0.04407368355765056,2793.6,739.9,19.5
63,34001013201,1006,65834,3132,0.04757420178023514,2220.9,892.9,17.8
64,34001013202,1016,89314,2969,0.03324226884922857,1839.9,1031.0,97.7
65,34001013301,1063,64243,3177,0.04945285867720997,2219.8,918.6,38.8
66,34001013302,1111,85311,3234,0.03790835882828709,2219.0,979.0,35.9
67,34001013500,1019,121751,4629,0.03802022159982259,3447.2,1072.8,108.7
68,34001983400,12,84163,3190,0.037902641303185484,1431.3,1749.5,9.4
69,34003001000,2254,191980,2489,0.012964892176268361,1450.1,924.2,114.6
70,34003002100,525,182218,3166,0.017374792830565585,2004.4,1122.3,39.5
71,34003002200,1795,154109,3612,0.023437956251743896,2662.8,916.4,32.4
72,34003002300,2133,183131,3667,0.020023917305098535,2682.9,927.0,56.7
73,34003003100,1688,110076,2227,0.02023147643446346,1346.9,787.9,92.4
74,34003003200,1765,96594,1588,0.016439944510010972,987.2,531.5,69.6
75,34003003300,2116,121886,2280,0.01870600397092365,1390.2,793.8,95.6
76,34003003401,734,161569,2650,0.016401661209761775,1720.1,834.8,94.6
77,34003003402,961,156442,2389,0.015270835197709056,1516.1,795.6,77.6
78,34003003500,1496,86104,1485,0.017246585524482022,962.3,470.0,52.3
79,34003004001,1088,105995,2158,0.020359450917496108,1327.7,716.5,114.1
80,34003004002,1778,104160,2093,0.020094086021505378,1212.4,777.9,102.9
81,34003005000,2321,108194,1955,0.018069393866573007,1230.6,671.0,53.6
82,34003006100,2807,89679,1596,0.017796808617402068,1047.4,452.9,95.3
83,34003006201,2037,67692,1327,0.01960349819771908,880.6,384.3,61.9
84,34003006202,2267,132419,1709,0.01290600291498954,1482.9,204.5,21.7
85,34003006300,3424,95310,1510,0.015843038505928025,1053.8,409.4,46.7
86,34003007001,1285,156405,2390,0.015280841405325917,1410.5,931.9,48.0
87,34003007002,1479,209079,4059,0.01941371443330033,2936.4,1090.9,31.9
88,34003008000,2890,182040,2502,0.013744232036914964,1557.0,915.0,30.0
89,34003009100,1686,208560,2675,0.012826045262754123,1661.8,984.6,28.4
90,34003009200,1112,204557,2621,0.012813054552031952,1577.4,991.5,52.3
91,34003010100,2229,117294,2132,0.018176547820007844,1264.9,722.9,144.2
92,34003010200,1631,96603,1604,0.016604039212032753,1008.0,525.7,70.6
93,34003010300,2513,122846,2161,0.017591130358334827,1349.7,743.9,67.2
94,34003011100,1588,84974,1829,0.021524230941229083,1160.1,595.0,73.9
95,34003011200,1733,86048,1758,0.020430457419114912,1083.9,622.4,51.8
96,34003011300,1402,103139,2064,0.020011828697195047,1349.1,679.0,35.5
97,34003011400,2167,101056,1920,0.018999366687777075,1187.2,698.3,34.8
98,34003012001,2433,79965,1483,0.018545613705996375,1000.6,405.6,76.7
99,34003012002,1367,100902,1722,0.01706606410180175,1083.5,582.8,55.6
100,34003013001,3296,128762,1233,0.009575806526770321,1048.5,182.9,1.4
101,34003013002,2450,123896,1409,0.011372441402466585,1032.4,352.7,24.0
102,34003014000,2509,150571,2626,0.017440277344242916,1586.8,939.7,99.9
103,34003015100,962,208611,2274,0.01090067158491163,1313.7,836.5,124.0
104,34003015200,2402,98964,2010,0.020310415908815327,1228.9,651.8,129.4
105,34003015300,2047,81026,2071,0.025559696887418853,1324.1,642.3,105.1
106,34003015400,2721,93189,1556,0.016697249675390873,1054.6,461.0,40.8
107,34003015500,2516,158602,1923,0.012124689474281535,1208.1,632.6,81.9
108,34003016000,1779,210071,2895,0.01378105497665075,1831.7,1004.0,59.6
109,34003017100,2540,153818,2116,0.013756517442692013,1331.6,758.4,26.3
110,34003017200,2418,121118,1805,0.014902822041315081,1142.1,634.4,28.5
111,34003017300,1940,141847,2224,0.01567886525622678,1417.0,750.5,56.9
112,34003017400,1815,136295,2157,0.015825965736087164,1331.7,750.8,74.6
113,34003017500,2750,120757,2165,0.01792856728802471,1339.4,728.8,96.4
114,34003018100,2805,71539,1546,0.021610590027816994,997.0,493.0,55.8
115,34003018200,2588,74984,1594,0.021257868345246986,1054.4,492.1,47.1
116,34003019102,1430,95420,1152,0.012072940683294908,800.4,340.4,11.4
117,34003019103,2226,90306,966,0.010696963656899873,717.9,243.6,4.3
118,34003019104,1690,92775,1365,0.014713015359741309,940.7,404.5,19.6
119,34003019202,890,106294,1240,0.011665757239354996,989.1,249.4,1.1
120,34003019203,1601,87360,1110,0.012706043956043956,849.7,258.1,2.6
121,34003019204,1757,91770,1267,0.013806254767353166,954.7,279.5,32.7
122,34003019303,2361,85371,1390,0.01628187557835799,1084.3,294.8,11.4
123,34003019304,893,124552,2220,0.01782388078874687,1365.3,751.4,103.6
124,34003019305,3292,121021,1423,0.011758289883573926,1061.0,321.5,40.3
125,34003019306,864,138556,1793,0.012940616068593204,1303.4,443.3,46.7
126,34003020100,1562,178826,3458,0.019337232840862067,2479.8,880.4,97.9
127,34003020200,2196,223809,2895,0.012935136656702814,1691.6,1164.7,38.8
128,34003021100,2528,75946,1679,0.022107813446396122,967.4,609.4,102.1
129,34003021200,2072,88068,1641,0.018633328791388473,996.9,600.8,43.4
130,34003021300,1561,78629,1869,0.02376985590558191,1131.8,597.0,140.6
131,34003021400,1745,74494,1605,0.02154535935780063,996.6,502.8,105.4
132,34003021500,1826,57451,1534,0.026701014777810655,943.0,564.3,27.2
133,34003021600,1561,64121,1591,0.024812463935372186,973.1,591.1,26.4
134,34003022100,1332,206498,2742,0.013278578969287838,1669.9,981.6,90.5
135,34003022200,2449,214603,2884,0.013438768330358848,1708.5,1078.8,96.4
136,34003023100,1447,66571,831,0.012482912980126482,724.5,105.7,0.6
137,34003023200,3234,83828,1218,0.014529751395715036,838.6,331.1,48.1
138,34003023301,1036,120468,2178,0.018079489989042734,1265.2,721.0,192.1
139,34003023302,2756,81019,1010,0.012466211629370888,870.0,112.7,27.5
140,34003023401,1719,73110,864,0.011817808781288469,706.6,152.9,4.6
141,34003023402,2388,82805,1344,0.016230903930922046,1007.7,319.8,16.4
142,34003023501,1346,72534,1297,0.01788126947362616,918.5,353.8,24.8
143,34003023502,2160,68042,889,0.01306545956908968,760.0,120.1,9.2
144,34003023601,1205,77273,1409,0.018234053291576617,943.3,387.9,77.5
145,34003023602,1441,61466,1409,0.022923242117593466,987.9,366.2,54.7
146,34003024100,2028,197878,2665,0.013467894359150587,1623.7,979.9,61.5
147,34003024200,1625,178635,2562,0.014342094214459653,1513.4,956.3,92.5
148,34003025100,2323,103407,1789,0.017300569593934646,1099.3,627.7,62.3
149,34003025200,1916,128722,2256,0.017526141607495223,1288.2,759.0,209.1
150,34003026100,1649,183256,2578,0.014067752215479984,1532.4,976.1,69.7
151,34003026200,1953,180361,2609,0.014465433214497591,1545.7,962.1,101.5
152,34003027000,1415,241382,2862,0.011856725025064007,1753.5,1024.3,84.2
153,34003028001,1923,115196,2022,0.017552692801833397,1258.9,694.8,68.0
154,34003028002,1415,132671,2097,0.01580601638639944,1337.8,689.2,69.6
155,34003029100,1913,69269,1381,0.01993676825131011,949.6,399.7,31.5
156,34003029200,2395,83705,1773,0.0211815303745296,1183.0,569.8,20.2
157,34003030100,2047,82925,1350,0.016279770877298764,841.8,446.8,61.2
158,34003030200,2702,74456,1590,0.021354894165681745,950.9,560.9,78.1
159,34003030300,1511,79979,1579,0.019742682454144213,993.9,509.1,75.5
160,34003030400,2667,83028,1511,0.018198679963385846,916.4,485.8,108.4
161,34003031100,2447,99071,1782,0.01798710016049096,1106.7,600.0,75.5
162,34003031200,1851,92364,1720,0.0186219739292365,1016.5,602.0,101.4
163,34003031300,2002,88916,1910,0.021480948310765215,1192.5,604.3,113.1
164,34003031400,2142,107499,1946,0.018102493976688155,1151.4,699.8,94.5
165,34003032102,2102,167089,3620,0.021665100634990934,2538.2,963.8,117.9
166,34003032103,2449,120608,2085,0.017287410453701246,1557.4,497.1,30.7
167,34003032104,702,135663,3649,0.026897532857153388,2420.6,820.7,408.0
168,34003032201,2266,175033,3092,0.01766524026897785,2214.3,825.5,51.7
169,34003032202,1986,125260,2881,0.023000159667890787,2086.7,734.7,59.7
170,34003033100,1273,127830,2142,0.016756629899084722,1277.3,707.5,156.7
171,34003033200,851,123790,2016,0.016285645044026173,1241.1,620.3,154.4
172,34003033300,1375,90167,1486,0.016480530571051494,920.4,480.4,85.6
173,34003034000,2604,140288,2065,0.014719719434306569,1137.0,766.9,161.4
174,34003035100,2858,180583,2349,0.013007868957764573,1471.0,844.8,33.6
175,34003035200,2009,213447,2808,0.013155490590169926,1681.3,1052.4,74.2
176,34003036100,849,88188,1849,0.0209665714156121,1147.7,656.6,44.6
177,34003036200,977,87120,2040,0.023415977961432508,1214.8,690.7,134.4
178,34003037100,1732,143413,2400,0.01673488456416085,1504.8,737.7,158.0
179,34003037201,1248,147914,2442,0.01650959341238828,1494.2,837.9,109.7
180,34003037202,2826,96733,1459,0.015082753558764848,912.6,505.2,41.2
