,FIP,Total Units,Average Household Income,Annual Energy Expenditures,Energy Burden,Annual Electricity Expenditures,Annual Gas Expenditures,Annual Fuel Oil Expenditures
0,35001000107,1131,109257,1542,0.014113512177709437,1127.3,392.3,22.8
1,35001000108,1224,75486,1219,0.016148689823278488,869.3,331.0,19.2
2,35001000109,941,88630,1451,0.01637143179510324,1021.9,398.3,30.4
3,35001000110,1608,55283,1239,0.022411953041622197,902.2,317.0,19.4
4,35001000111,1009,101069,1564,0.015474576774282916,1130.6,405.0,28.3
5,35001000112,858,98534,1426,0.014472161893356608,1021.0,383.4,21.8
6,35001000113,1352,62072,1250,0.020137904369119733,875.0,361.9,12.9
7,35001000114,1193,57983,1350,0.02328268630460652,961.2,362.4,26.5
8,35001000115,1445,48538,1248,0.025711813424533356,887.9,342.8,17.7
9,35001000116,1197,76291,1368,0.017931341835865304,951.3,394.7,21.8
10,35001000117,895,68216,1406,0.02061100035182362,1014.0,376.3,16.2
11,35001000118,1088,74365,1291,0.017360317353593762,919.0,354.8,16.8
12,35001000119,751,92262,1374,0.014892371724003381,959.7,382.4,32.0
13,35001000120,1049,77119,1490,0.01932078994800244,1077.6,382.1,30.0
14,35001000121,2607,47813,1191,0.024909543429611193,866.9,312.2,11.5
15,35001000122,1920,65217,1214,0.0186147783553368,871.5,323.4,18.8
16,35001000123,2005,60225,1324,0.02198422581984226,914.6,392.1,17.2
17,35001000124,1947,47982,1031,0.021487224375807596,763.3,252.7,15.0
18,35001000125,1695,114238,1476,0.012920394264605473,1025.0,434.8,16.3
19,35001000126,1202,58826,1300,0.022099071838982763,940.0,348.9,11.3
20,35001000127,1112,65871,1404,0.021314387211367674,954.7,424.9,24.3
21,35001000128,1195,53165,1311,0.02465908022195053,913.1,370.2,27.9
22,35001000129,2002,53007,1123,0.02118588111004207,831.6,280.0,11.4
23,35001000203,889,53166,1071,0.020144453221983976,781.5,275.1,14.6
24,35001000204,1269,60019,1367,0.0227761208950499,981.9,371.7,13.6
25,35001000205,1461,45444,1181,0.025988029222779686,875.8,287.6,17.5
26,35001000206,1179,69268,1345,0.019417335566206617,916.0,404.4,24.3
27,35001000207,1329,52112,1296,0.02486951182069389,918.1,359.5,18.5
28,35001000208,1199,53051,1309,0.024674369945901112,884.7,391.0,33.0
29,35001000300,2715,88867,1274,0.014336030247448435,886.2,367.6,20.4
30,35001000401,1933,77349,1378,0.017815356371769512,1007.3,352.8,18.3
31,35001000402,1702,75736,1313,0.017336537445864584,927.3,363.5,22.3
32,35001000501,1485,40273,957,0.023762818761949692,729.8,221.1,6.4
33,35001000502,2561,59168,1012,0.01710383991346674,723.4,273.2,15.1
34,35001000601,1708,60409,1238,0.020493635054379313,879.4,331.0,27.2
35,35001000603,1742,30716,1228,0.0399791639536398,900.4,312.0,15.7
36,35001000604,1692,36069,1091,0.030247581025257146,780.7,289.6,20.2
37,35001000704,1321,57760,1427,0.02470567867036011,1010.4,392.4,24.3
38,35001000707,2139,37199,1219,0.03276969811016425,888.3,317.0,13.3
39,35001000708,2688,52635,1202,0.02283651562648428,838.5,348.6,14.5
40,35001000710,2756,117124,1515,0.012935009050237355,1073.8,426.1,15.4
41,35001000711,1890,85533,1350,0.015783381852618288,931.3,397.6,21.0
42,35001000712,1628,54282,1295,0.02385689547179544,940.1,339.2,15.3
43,35001000713,2331,38938,1091,0.02801890184395706,804.6,280.2,6.6
44,35001000714,2018,65921,1078,0.016352907267790234,741.6,311.1,24.8
45,35001000801,1104,69870,1271,0.018190926005438673,905.8,364.4,0.9
46,35001000901,2583,25843,1108,0.04287427930193863,849.8,250.5,7.8
47,35001000903,3086,24724,877,0.035471606536159196,655.3,203.3,18.6
48,35001000904,1721,47872,1192,0.024899732620320855,815.5,349.6,26.5
49,35001001101,2198,70550,1245,0.01764705882352941,906.6,326.1,11.8
50,35001001102,1360,48652,1060,0.02178738797993916,715.9,328.7,15.6
51,35001001200,2953,43358,1075,0.0247935790396236,756.3,309.2,9.3
52,35001001300,1402,37557,1259,0.03352237931677184,870.9,344.4,44.0
53,35001001400,1129,36671,1303,0.0355321643805732,899.6,373.5,30.1
54,35001001500,1112,43277,1098,0.025371444416202604,790.7,294.1,13.5
55,35001001600,1405,34286,854,0.02490812576561862,638.5,212.9,3.0
56,35001001700,2306,56078,1165,0.020774635329362672,825.0,327.8,12.5
57,35001001800,371,26633,510,0.019149175834491047,417.1,86.2,6.7
58,35001001900,480,80115,1150,0.01435436559945079,827.4,311.9,10.7
59,35001002000,1140,33570,1015,0.030235329162943105,769.7,233.7,11.3
60,35001002100,880,28888,678,0.02346995292162836,589.3,87.1,1.3
