,FIP,Total Units,Average Household Income,Annual Energy Expenditures,Energy Burden,Annual Electricity Expenditures,Annual Gas Expenditures,Annual Fuel Oil Expenditures
0,51001090100,1523,70107,4873,0.06950803771378036,4034.5,627.3,210.8
1,51001090200,2563,50571,3635,0.07187914021870243,2581.6,851.5,201.4
2,51001090300,1021,60178,3136,0.05211206753298547,2134.7,695.1,306.2
3,51001090400,2121,56600,2879,0.05086572438162544,2103.6,581.3,193.7
4,51001090500,1015,53019,3202,0.060393443859748396,2054.5,720.6,426.4
5,51001090600,1875,61556,2848,0.046266813958021964,2001.8,572.2,273.8
6,51001090700,1935,66049,3181,0.04816121364441551,2235.9,765.0,180.6
7,51001090800,1348,52920,3103,0.05863567649281935,2185.1,689.2,228.5
8,51003010100,2189,118255,2688,0.022730539934886475,1946.4,479.2,261.9
9,51003010201,1784,102916,2374,0.02306735590190058,1943.7,329.5,100.9
10,51003010202,1218,157835,3074,0.019476035099946148,2271.7,573.1,229.3
11,51003010300,3265,100810,1941,0.019254042257712527,1627.4,274.4,39.0
12,51003010401,1713,118299,3458,0.029231016323045842,2410.7,860.1,187.4
13,51003010402,1263,140057,3727,0.026610594258052078,2271.1,1332.1,123.6
14,51003010500,2630,101090,1679,0.01660896231081215,1401.1,234.8,43.3
15,51003010601,2771,87731,1664,0.01896706979288963,1450.1,174.2,39.7
16,51003010602,1665,115415,1860,0.016115756184204827,1615.1,224.7,20.6
17,51003010700,2650,65804,1457,0.022141511154337122,1244.1,178.7,34.1
18,51003010800,2501,88978,1737,0.019521679516284925,1352.9,284.5,99.2
19,51003010901,650,56892,1394,0.024502566265907334,1309.6,75.8,8.8
20,51003010902,470,54404,1329,0.024428350856554665,1187.6,134.8,6.8
21,51003010903,98,6763,1334,0.19724974123909508,1333.6,0.0,0.0
22,51003011000,2392,169493,2650,0.015634863976683403,1987.1,512.3,150.6
23,51003011100,3262,100949,2337,0.023150303618658927,1808.3,375.7,153.3
